"Number batches", "Number concurrent flow invocations", "Total number flow invocations", "Number successful flow invocations + executions", "% successful flow invocations + executions", "Number successful flow invocations failed executions", "% successful flow invocations failed executions", "Average flow roundtrip time (ms)"
50, 1, 50, 50, 100, 0, 0, 774.74
50, 2, 100, 100, 100, 0, 0, 729.61
50, 3, 150, 150, 100, 0, 0, 973.2533333333333
50, 4, 200, 200, 100, 0, 0, 1353.8
50, 5, 250, 250, 100, 0, 0, 1370.276
50, 6, 300, 300, 100, 0, 0, 1302.2233333333334
50, 7, 350, 350, 100, 0, 0, 1687.6542857142856
50, 8, 400, 400, 100, 0, 0, 1694.26
50, 9, 450, 450, 100, 0, 0, 1733.0333333333333
50, 10, 500, 500, 100, 0, 0, 1597.384
50, 11, 550, 550, 100, 0, 0, 2048.3254545454547
50, 12, 600, 600, 100, 0, 0, 2057.0016666666666
50, 13, 650, 650, 100, 0, 0, 2048.6553846153847
50, 14, 700, 700, 100, 0, 0, 2274.937142857143
50, 15, 750, 750, 100, 0, 0, 2329.306666666667
50, 16, 800, 800, 100, 0, 0, 2490.41375
50, 17, 850, 850, 100, 0, 0, 2558.315294117647
50, 18, 900, 900, 100, 0, 0, 2693.88
50, 19, 950, 950, 100, 0, 0, 2832.915789473684
50, 20, 1000, 999, 99.9, 0, 0, 2717.736
50, 21, 1050, 1050, 100, 0, 0, 2928.782857142857
50, 22, 1100, 1100, 100, 0, 0, 3145.1363636363635
50, 23, 1150, 1149, 99.91304347826087, 0, 0, 3425.4852173913046
50, 24, 1200, 1200, 100, 0, 0, 3323.9158333333335
50, 25, 1250, 1250, 100, 0, 0, 3756.3136
