"Number batches", "Number concurrent flow invocations", "Total number flow invocations", "Number successful flow invocations + executions", "% successful flow invocations + executions", "Number successful flow invocations with failed executions", "% successful flow invocations with failed executions", "Average flow roundtrip time (ms)"
25, 1, 25, 25, 100, 0, 0, 265.52
25, 2, 50, 50, 100, 0, 0, 751.7
25, 3, 75, 75, 100, 0, 0, 608.4933333333333
25, 4, 100, 100, 100, 0, 0, 1431.01
25, 5, 125, 125, 100, 0, 0, 1220.36
25, 6, 150, 150, 100, 0, 0, 1478.6533333333334
25, 7, 175, 175, 100, 0, 0, 1346.662857142857
25, 8, 200, 200, 100, 0, 0, 1658.745
25, 9, 225, 225, 100, 0, 0, 1969.7244444444445
25, 10, 250, 250, 100, 0, 0, 2207.644
25, 11, 275, 275, 100, 0, 0, 2004.1054545454544
25, 12, 300, 300, 100, 0, 0, 2683.82
25, 13, 325, 325, 100, 0, 0, 2098.8830769230767
25, 14, 350, 350, 100, 0, 0, 2455.1714285714284
25, 15, 375, 375, 100, 0, 0, 1833.1626666666666
25, 16, 400, 400, 100, 0, 0, 2702.6475
25, 17, 425, 424, 99.76470588235294, 0, 0, 3025.404705882353
25, 18, 450, 450, 100, 0, 0, 3258.9955555555557
25, 19, 475, 475, 100, 0, 0, 2800.1515789473683
25, 20, 500, 500, 100, 0, 0, 3029.824
25, 21, 525, 525, 100, 0, 0, 3132.4266666666667
25, 22, 550, 550, 100, 0, 0, 4463.090909090909
25, 23, 575, 575, 100, 0, 0, 3558.7460869565216
25, 24, 600, 598, 99.66666666666667, 0, 0, 3391.6966666666667
25, 25, 625, 625, 100, 0, 0, 2624.7936
