"Number batches", "Number concurrent flow invocations", "Total number flow invocations", "Number successful flow invocations + executions", "% successful flow invocations + executions", "Number successful flow invocations failed executions", "% successful flow invocations failed executions", "Average flow roundtrip time (ms)"
50, 1, 50, 50, 100, 0, 0, 691.9
50, 2, 100, 100, 100, 0, 0, 990.28
50, 3, 150, 150, 100, 0, 0, 941.16
50, 4, 200, 200, 100, 0, 0, 1168.225
50, 5, 250, 250, 100, 0, 0, 1584.756
50, 6, 300, 300, 100, 0, 0, 1522.4766666666667
50, 7, 350, 350, 100, 0, 0, 1907.4828571428573
50, 8, 400, 400, 100, 0, 0, 1837.5775
50, 9, 450, 450, 100, 0, 0, 2009.5666666666666
50, 10, 500, 500, 100, 0, 0, 2061.03
50, 11, 550, 550, 100, 0, 0, 2177.6690909090908
50, 12, 600, 600, 100, 0, 0, 2128.5916666666667
50, 13, 650, 649, 99.84615384615384, 0, 0, 2535.2353846153846
50, 14, 700, 700, 100, 0, 0, 2635.812857142857
50, 15, 750, 750, 100, 0, 0, 2811.597333333333
50, 16, 800, 800, 100, 0, 0, 2844.875
50, 17, 850, 850, 100, 0, 0, 3126.9117647058824
50, 18, 900, 899, 99.88888888888889, 0, 0, 3607.277777777778
50, 19, 950, 950, 100, 0, 0, 3192.4494736842107
50, 20, 1000, 1000, 100, 0, 0, 3580.048
50, 21, 1050, 1050, 100, 0, 0, 3664.4685714285715
50, 22, 1100, 1099, 99.9090909090909, 0, 0, 3997.430909090909
50, 23, 1150, 1150, 100, 0, 0, 3893.5008695652173
50, 24, 1200, 1200, 100, 0, 0, 4013.9675
50, 25, 1250, 1250, 100, 0, 0, 3789.8376
