"Number batches", "Number concurrent flow invocations", "Total number flow invocations", "Number successful flow invocations + executions", "% successful flow invocations + executions", "Number successful flow invocations failed executions", "% successful flow invocations failed executions", "Average flow roundtrip time (ms)"
10, 1, 10, 10, 100, 0, 0, 2942
10, 2, 20, 20, 100, 0, 0, 3231.45
10, 3, 30, 30, 100, 0, 0, 3323.9
10, 4, 40, 40, 100, 0, 0, 3439.525
10, 5, 50, 50, 100, 0, 0, 3939.84
10, 6, 60, 59, 98.33333333333333, 1, 1.6666666666666667, 4831.15
10, 7, 70, 66, 94.28571428571429, 4, 5.714285714285714, 4630
10, 8, 80, 64, 80, 16, 20, 4734.2375
10, 9, 90, 53, 58.888888888888886, 34, 37.77777777777778, 3926.5666666666666
10, 10, 100, 63, 63, 29, 29, 4362.11
10, 11, 110, 69, 62.72727272727273, 34, 30.90909090909091, 4449.636363636364
10, 12, 120, 59, 49.166666666666664, 40, 33.333333333333336, 3973.775
10, 13, 130, 71, 54.61538461538461, 33, 25.384615384615383, 4411.0615384615385
10, 14, 140, 55, 39.285714285714285, 41, 29.285714285714285, 3016.7357142857145
10, 15, 150, 46, 30.666666666666668, 28, 18.666666666666668, 1985.4466666666667
10, 16, 160, 49, 30.625, 40, 25, 2405.025
10, 17, 170, 54, 31.764705882352942, 32, 18.823529411764707, 2704.6176470588234
10, 18, 180, 71, 39.44444444444444, 36, 20, 3283.511111111111
10, 19, 190, 67, 35.26315789473684, 38, 20, 3321.1263157894737
10, 20, 200, 42, 21, 27, 13.5, 1553.82
10, 21, 210, 58, 27.61904761904762, 28, 13.333333333333334, 2245.2714285714287
10, 22, 220, 74, 33.63636363636363, 34, 15.454545454545455, 3180.3681818181817
10, 23, 230, 67, 29.130434782608695, 36, 15.652173913043478, 2709.230434782609
10, 24, 240, 44, 18.333333333333332, 40, 16.666666666666668, 1913.9875
10, 25, 250, 63, 25.2, 34, 13.6, 2304.244
